city,Male Below 5,Male 5-9,Male 10-14,Male 15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75-79,Male 80 years old and over,Female Below 5,Female 5-9,Female 10-14,Female 15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75-79,Female 80 years old and over
manila,87422,86206,81657,79942,90893,90344,80241,67844,59753,50560,44618,35629,27505,17480,10563,4452,3534,81853,80099,76920,77828,90134,88440,75609,65937,59468,51310,48093,40406,33598,23366,16255,8486,10068
mandaluyong,19973,18721,17753,15862,21696,23171,19868,16365,14035,11568,9582,7342,5582,3595,2171,992,737,18687,17976,16803,15628,22139,23038,19462,16636,14269,12148,10650,9048,7414,5177,3622,1950,2098
marikina,21808,21934,21502,19605,20686,20303,18606,16059,14799,12710,11256,9045,7281,4816,3009,1357,1413,20356,20393,19763,18818,20278,20333,17902,16342,15023,13650,12178,10103,8520,6355,4410,2432,3014
pasig,41784,40420,36889,33289,35936,38111,36306,31552,26894,21675,17757,13618,10349,6676,4246,1774,1535,39384,37618,34125,32413,36300,38567,35495,30973,27225,22310,19247,15653,13053,9286,5977,3255,3467
quezon city,150043,143243,134265,122666,138255,140263,129117,110813,97025,81606,70154,55865,42848,26784,15431,7170,6247,141203,133359,124322,119334,137285,137589,124133,109539,98911,84733,76585,64025,51645,34853,22561,12755,15421
san juan,5503,5200,5058,4573,5728,5711,5457,4795,4294,3716,3312,2693,2065,1360,960,383,414,5193,4859,4553,4393,6028,5934,5497,4977,4683,4025,3603,3347,2764,2016,1326,854,1073
caloocan,87003,85680,80821,76925,79984,77689,69481,60490,53479,45097,39275,30718,23558,14057,7669,3390,2583,80266,78804,76173,73050,78403,75200,65868,58535,52419,44394,40146,33265,26272,17278,11289,6091,6232
malabon,18638,19033,18540,17742,18807,17782,15833,13719,12564,10628,9089,7353,5570,3518,2130,911,709,17348,17501,17283,16751,18167,16750,14634,13318,12200,10341,9128,7674,6398,4303,2945,1503,1712
navotas,13151,13545,12531,11896,12043,11072,10028,8650,8103,6853,5725,4756,3634,2284,1213,568,388,12187,12171,11856,11261,11406,10423,9180,8260,7489,6369,5708,4694,3739,2649,1856,945,910
valenzuela,34607,33947,34162,32037,35957,35875,32913,28303,25044,20122,16509,12794,9525,6119,3500,1528,1177,32180,31277,31832,30735,33827,33129,29858,26507,23853,19380,16446,13444,10508,7557,4885,2623,2818
las piñas,28615,28705,27229,25843,29278,28474,26393,22911,20462,17109,14011,10965,8654,5949,3709,1657,1277,26768,26496,25390,24910,28673,28078,25610,23364,21178,17568,15332,12710,10623,7651,5150,2739,2812
makati,26913,24778,23568,21772,27830,32979,32754,26255,21306,17190,14889,12718,10729,6783,3979,1766,1794,25868,23168,21907,21168,29075,33267,31379,26475,21901,18600,17215,15304,13515,9195,5988,3275,4313
muntinlupa,24980,23928,22638,22373,24787,26049,25334,23634,21177,17713,14923,11460,8879,5740,3415,1493,1095,23156,22406,21436,21641,23867,24311,22579,20489,18412,15615,13540,11311,9580,6693,4249,2210,2332
parañaque,33412,31415,29645,26641,31394,33419,32648,27868,24154,19334,16082,12549,9919,6361,3935,1864,1691,31796,29293,27580,25717,30888,32229,30809,27888,24164,20594,18368,15091,12324,8402,5656,3217,3645
pasay,17056,17858,17643,17142,25108,26672,22233,18362,15038,11718,9971,7652,5596,3805,2274,956,856,15997,16871,16815,17167,24815,26161,21018,17115,14560,11826,10468,8514,6977,4929,3455,1931,2097
taguig,47031,44210,41774,37648,44310,46607,42600,35283,29698,22773,18339,14278,10548,6638,3403,1414,974,43800,40938,39151,36764,44126,44992,39911,33659,28273,22450,19202,15592,12448,8079,4905,2448,2456
pateros,3017,3070,3049,2778,2976,2991,2905,2425,2181,1810,1622,1296,946,682,407,195,162,2829,2864,2820,2639,2983,2937,2738,2425,2155,1861,1688,1378,1199,859,601,366,373